JVDBKH2,FX2,cmc,MOC-R4PAC22U37-CMC,,R4-PA-C22,37,10.2.12.190,F4:8E:38:C7:4A:BE,,
JGDXJH2,FC430,idrac,MOC-R4PAC22U37-S1A-OBM,Server-1a,R4-PA-C22,37,10.2.12.191,10:7D:1A:9C:30:40,,
JGF5KH2,FC430,idrac,MOC-R4PAC22U37-S1B-OBM,Server-1b,R4-PA-C22,37,10.2.12.192,10:7D:1A:9C:31:10,,
JGF7KH2,FC430,idrac,MOC-R4PAC22U37-S1C-OBM,Server-1c,R4-PA-C22,37,10.2.12.193,10:7D:1A:9C:36:C9,,
H9Q11Q2,FC430,idrac,MOC-R4PAC22U37-S1D-OBM,Server-1d,R4-PA-C22,37,10.2.12.194,10:7D:1A:9C:36:CA,,
JGF3KH2,FC430,idrac,MOC-R4PAC22U37-S3A-OBM,Server-3a,R4-PA-C22,37,10.2.12.195,10:7D:1A:9C:30:5A,,
JGF2KH2,FC430,idrac,MOC-R4PAC22U37-S3B-OBM,Server-3b,R4-PA-C22,37,10.2.12.196,10:7D:1A:9C:32:7E,,
JGF4KH2,FC430,idrac,MOC-R4PAC22U37-S3C-OBM,Server-3c,R4-PA-C22,37,10.2.12.197,10:7D:1A:9C:38:37,,
JGF6KH2,FC430,idrac,MOC-R4PAC22U37-S3D-OBM,Server-3d,R4-PA-C22,37,10.2.12.198,10:7D:1A:9C:38:38,,
JMJTJH2,FX2,cmc,MOC-R4PAC22U35-CMC,,R4-PA-C22,35,10.2.12.180,F4:8E:38:C7:2E:D6,,
H9Q01Q2,FC430,idrac,MOC-R4PAC22U35-S1A-OBM,Server-1a,R4-PA-C22,35,10.2.12.181,10:7D:1A:C2:16:40,,
JVBHDH2,FC430,idrac,MOC-R4PAC22U35-S1B-OBM,Server-1b,R4-PA-C22,35,10.2.12.182,10:7D:1A:C2:17:10,,
JVBGDH2,FC430,idrac,MOC-R4PAC22U35-S1C-OBM,Server-1c,R4-PA-C22,35,10.2.12.183,10:7D:1A:C2:1C:C9,,
JVBKDH2,FC430,idrac,MOC-R4PAC22U35-S1D-OBM,Server-1d,R4-PA-C22,35,10.2.12.184,10:7D:1A:C2:1C:CA,,
JVBJDH2,FC430,idrac,MOC-R4PAC22U35-S3A-OBM,Server-3a,R4-PA-C22,35,10.2.12.185,10:7D:1A:C2:16:5A,,
JVBLHH2,FC430,idrac,MOC-R4PAC22U35-S3B-OBM,Server-3b,R4-PA-C22,35,10.2.12.186,10:7D:1A:C2:18:7E,,
JGDSJH2,FC430,idrac,MOC-R4PAC22U35-S3C-OBM,Server-3c,R4-PA-C22,35,10.2.12.187,10:7D:1A:C2:1E:37,,
JVBLDH2,FC430,idrac,MOC-R4PAC22U35-S3D-OBM,Server-3d,R4-PA-C22,35,10.2.12.188,10:7D:1A:C2:1E:38,,
1HW05R2,FX2,cmc,MOC-R4PAC22U33-CMC,,R4-PA-C22,33,10.2.12.170,50:9A:4C:B1:E0:B8,,
1HQZ4R2,FC430,idrac,MOC-R4PAC22U33-S1A-OBM,Server-1a,R4-PA-C22,33,10.2.12.171,A8:99:69:AE:D6:C0,,
