15V1DV2,FC830,idrac,MOC-R4PAC08U29-S1-OBM,Server-1,R4-PA-C08,29,10.2.14.151,40:5C:FD:DF:E8:80,24:8a:07:1e:31:4a,24:8a:07:1e:31:4b,1/7/3
GTJ05Z2,FC830,idrac,MOC-R4PAC08U29-S3-OBM,Server-3,R4-PA-C08,29,10.2.14.152,40:5C:FD:DF:E8:9A,7c:fe:90:cb:73:66,7c:fe:90:cb:73:67,1/7/4
5C89DS2,FX2,cmc,MOC-R4PAC08U27-CMC,,R4-PA-C08,27,10.2.14.140,54:48:10:F5:95:AE,,
4N4V2S2,FC830,idrac,MOC-R4PAC08U27-S1-OBM,Server-1,R4-PA-C08,27,10.2.14.141,DC:F4:01:1D:FF:F0,7c:fe:90:cb:76:62,7c:fe:90:cb:76:63,1/7/1
4N4T2S2,FC830,idrac,MOC-R4PAC08U27-S3-OBM,Server-3,R4-PA-C08,27,10.2.14.142,DC:F4:01:1E:00:0A,50:6b:4b:38:8c:2e,50:6b:4b:38:8c:2f,1/7/2
GV1K9Z2,FX2,cmc,MOC-R4PAC08U25-CMC,,R4-PA-C08,25,10.2.14.130,54:48:10:FE:6D:52,,
5C97DS2,FC830,idrac,MOC-R4PAC08U25-S1-OBM,Server-1,R4-PA-C08,25,10.2.14.131,D8:D0:90:6D:9A:40,50:6b:4b:38:8e:0e,50:6b:4b:38:8e:0f,1/6/3
5BP7DS2,FC830,idrac,MOC-R4PAC08U25-S3-OBM,Server-3,R4-PA-C08,25,10.2.14.132,D8:D0:90:6D:9A:5A,50:6b:4b:38:8c:32,50:6b:4b:38:8c:33,1/6/4
4N5V2S2,FX2,cmc,MOC-R4PAC08U23-CMC,,R4-PA-C08,23,10.2.14.120,54:48:10:FA:3B:F4,,
DBFTRZ2,FC830,idrac,MOC-R4PAC08U23-S1-OBM,Server-1,R4-PA-C08,23,10.2.14.121,CC:C5:E5:43:F6:A0,24:8a:07:1e:85:b0,24:8a:07:1e:85:b1,1/6/1
DBFVRZ2,FC830,idrac,MOC-R4PAC08U23-S3-OBM,Server-3,R4-PA-C08,23,10.2.14.122,CC:C5:E5:43:F6:BA,50:6b:4b:23:25:c4,50:6b:4b:23:25:c5,1/6/2
DBJTRZ2,FX2,cmc,MOC-R4PAC08U21-CMC,,R4-PA-C08,21,10.2.14.110,54:48:10:FE:6D:58,,
DBFQRZ2,FC830,idrac,MOC-R4PAC08U21-S1-OBM,Server-1,R4-PA-C08,21,10.2.14.111,D8:D0:90:B8:D8:F0,50:6b:4b:38:8c:36,50:6b:4b:38:8c:37,1/5/3
DBFPRZ2,FC830,idrac,MOC-R4PAC08U21-S3-OBM,Server-3,R4-PA-C08,21,10.2.14.112,D8:D0:90:B8:D9:0A,50:6b:4b:38:8e:5a,50:6b:4b:38:8e:5b,1/5/4
DBKFBZ2,FX2,cmc,MOC-R4PAC08U19-CMC,,R4-PA-C08,19,10.2.14.100,54:48:10:FE:6E:3C,,
GVZ2B03,FC830,idrac,MOC-R4PAC08U19-S1-OBM,Server-1,R4-PA-C08,19,10.2.14.101,D8:D0:90:B8:83:30,7c:fe:90:cb:73:8e,7c:fe:90:cb:73:8f,1/5/1
GVYGB03,FC830,idrac,MOC-R4PAC08U19-S3-OBM,Server-3,R4-PA-C08,19,10.2.14.102,D8:D0:90:B8:83:4A,50:6b:4b:38:8e:56,50:6b:4b:38:8e:57,1/5/2
6PWKGQ2,FX2,cmc,MOC-R4PAC08U17-CMC,,R4-PA-C08,17,10.2.14.90,58:8A:5A:EE:DB:B8,,
6PXGGQ2,FC830,idrac,MOC-R4PAC08U17-S1-OBM,Server-1,R4-PA-C08,17,10.2.14.91,A8:99:69:18:21:40,50:6b:4b:38:8e:52,50:6b:4b:38:8e:53,1/4/3
6PXFGQ2,FC830,idrac,MOC-R4PAC08U17-S3-OBM,Server-3,R4-PA-C08,17,10.2.14.92,A8:99:69:18:21:5A,50:6b:4b:38:8e:06,50:6b:4b:38:8e:07,1/4/4
GW0GB03,FX2,cmc,MOC-R4PAC08U15-CMC,,R4-PA-C08,15,10.2.14.80,54:48:10:FE:92:DA,,
GTHX4Z2,FC830,idrac,MOC-R4PAC08U15-S1-OBM,Server-1,R4-PA-C08,15,10.2.14.81,00:4E:01:1F:C1:10,7c:fe:90:cb:72:4a,7c:fe:90:cb:72:4b,1/4/1
GTHY4Z2,FC830,idrac,MOC-R4PAC08U15-S3-OBM,Server-3,R4-PA-C08,15,10.2.14.82,00:4E:01:1F:C1:2A,7c:fe:90:cb:76:f2,7c:fe:90:cb:76:f3,1/4/2
GV1J9Z2,FX2,cmc,MOC-R4PAC08U13-CMC,,R4-PA-C08,13,10.2.14.70,54:48:10:FE:6E:7E,,
H22BHQ2,FC830,idrac,MOC-R4PAC08U13-S1-OBM,Server-1,R4-PA-C08,13,10.2.14.71,D8:D0:90:6E:9B:80,50:6b:4b:1d:5e:e2,50:6b:4b:1d:5e:e3,1/3/3
15S4DV2,FC830,idrac,MOC-R4PAC08U13-S3-OBM,Server-3,R4-PA-C08,13,10.2.14.72,D8:D0:90:6E:9B:9A,50:6b:4b:23:33:84,50:6b:4b:23:33:85,1/3/4
2PJCCP2,FX2,cmc,MOC-R4PAC08U11-CMC,,R4-PA-C08,11,10.2.14.60,58:8A:5A:EE:DC:9C,,
344ZNY2,FC830,idrac,MOC-R4PAC08U11-S1-OBM,Server-1,R4-PA-C08,11,10.2.14.61,54:48:10:75:CF:00,7c:fe:90:cb:73:56,7c:fe:90:cb:73:57,1/3/1
C875MR2,FC830,idrac,MOC-R4PAC08U11-S3-OBM,Server-3,R4-PA-C08,11,10.2.14.62,54:48:10:75:CF:1A,24:8a:07:1e:34:b2,24:8a:07:1e:34:b3,1/3/2
B3PWHV2,FX2,cmc,MOC-R4PAC08U09-CMC,,R4-PA-C08,9,10.2.14.50,54:48:10:FD:09:3A,,
B3MWHV2,FC830,idrac,MOC-R4PAC08U09-S1-OBM,Server-1,R4-PA-C08,9,10.2.14.51,DC:F4:01:8F:85:00,7c:fe:90:cb:73:4a,7c:fe:90:cb:73:4b,1/2/3
