DB7HXK2,FC430,idrac,MOC-R4PAC21U31-S3D-OBM,Server-3d,R4-PA-C21,31,10.2.10.168,E0:D8:48:E3:9B:38,,
JP30JH2,FX2,cmc,MOC-R4PAC21U29-CMC,,R4-PA-C21,29,10.2.10.150,F4:8E:38:C7:52:52,,
JP2FKH2,FC830,idrac,MOC-R4PAC21U29-S1-OBM,Server-1,R4-PA-C21,29,10.2.10.151,40:5C:FD:36:4A:00,0c:42:a1:5f:7b:ac,0c:42:a1:5f:7b:ad
JP2FHH2,FC830,idrac,MOC-R4PAC21U29-S3-OBM,Server-3,R4-PA-C21,29,10.2.10.152,40:5C:FD:36:4A:1A,0c:42:a1:7b:e4:e0,0c:42:a1:7b:e4:e1
B3P1JV2,FX2,cmc,MOC-R4PAC21U27-CMC,,R4-PA-C21,27,10.2.10.140,54:48:10:FD:0A:96,,
B3LZHV2,FC830,idrac,MOC-R4PAC21U27-S1-OBM,Server-1,R4-PA-C21,27,10.2.10.141,DC:F4:01:8F:CE:80,1c:34:da:54:04:08,1c:34:da:54:04:09
B3M0JV2,FC830,idrac,MOC-R4PAC21U27-S3-OBM,Server-3,R4-PA-C21,27,10.2.10.142,DC:F4:01:8F:CE:9A,b8:ce:f6:0a:f7:cc,b8:ce:f6:0a:f7:cd
B6DTRZ2,FX2,cmc,MOC-R4PAC21U25-CMC,,R4-PA-C21,25,10.2.10.130,54:48:10:FE:6D:F6,,
B6MSRZ2,FC830,idrac,MOC-R4PAC21U25-S1-OBM,Server-1,R4-PA-C21,25,10.2.10.131,D8:D0:90:BB:00:30,0c:42:a1:7b:e4:f0,0c:42:a1:7b:e4:f1
B6MTRZ2,FC830,idrac,MOC-R4PAC21U25-S3-OBM,Server-3,R4-PA-C21,25,10.2.10.132,D8:D0:90:BB:00:4A,,
GV1X4Z2,FX2,cmc,MOC-R4PAC21U23-CMC,,R4-PA-C21,23,10.2.10.120,54:48:10:FE:6D:F4,,
GTJW4Z2,FC830,idrac,MOC-R4PAC21U23-S1-OBM,Server-1,R4-PA-C21,23,10.2.10.121,50:9A:4C:9B:53:27,0c:42:a1:51:3d:5c,0c:42:a1:51:3d:5d
GTJV4Z2,FC830,idrac,MOC-R4PAC21U23-S3-OBM,Server-3,R4-PA-C21,23,10.2.10.122,50:9A:4C:9B:53:4D,0c:42:a1:7b:e4:a0,0c:42:a1:7b:e4:a1
GV0W4Z2,FX2,cmc,MOC-R4PAC21U21-CMC,,R4-PA-C21,21,10.2.10.110,54:48:10:FE:6D:4E,,
GTKZ4Z2,FC830,idrac,MOC-R4PAC21U21-S1-OBM,Server-1,R4-PA-C21,21,10.2.10.111,50:9A:4C:9D:D2:82,0c:42:a1:95:c4:ac,0c:42:a1:95:c4:ad
