4JS4RP2,FC830,idrac,MOC-R4PAC10U29-S3-OBM,Server-3,R4-PA-C10,29,10.2.13.152,B8:85:84:5D:4B:1A,24:8a:07:1e:85:f4,24:8a:07:1e:85:f5,1/7/4
B6DVRZ2,FX2,cmc,MOC-R4PAC10U27-CMC,,R4-PA-C10,27,10.2.13.140,54:48:10:FE:6F:CE,,
B6MVRZ2,FC830,idrac,MOC-R4PAC10U27-S1-OBM,Server-1,R4-PA-C10,27,10.2.13.141,D8:D0:90:BB:55:F0,24:8a:07:1e:86:08,24:8a:07:1e:86:09,1/7/1
B6NFBZ2,FC830,idrac,MOC-R4PAC10U27-S3-OBM,Server-3,R4-PA-C10,27,10.2.13.142,D8:D0:90:BB:56:0A,24:8a:07:1e:85:a4,24:8a:07:1e:85:a5,1/7/2
JP38JH2,FX2,cmc,MOC-R4PAC10U25-CMC,,R4-PA-C10,25,10.2.13.130,F4:8E:38:C7:57:DA,,
DBGGBZ2,FC830,idrac,MOC-R4PAC10U25-S1-OBM,Server-1,R4-PA-C10,25,10.2.13.131,40:5C:FD:36:25:40,24:8a:07:1e:2e:1e,24:8a:07:1e:2e:1f,1/6/3
DBGFBZ2,FC830,idrac,MOC-R4PAC10U25-S3-OBM,Server-3,R4-PA-C10,25,10.2.13.132,40:5C:FD:36:25:5A,24:8a:07:1e:34:a6,24:8a:07:1e:34:a7,1/6/4
89B5RP2,FX2,cmc,MOC-R4PAC10U23-CMC,,R4-PA-C10,23,10.2.13.120,58:8A:5A:F7:A2:4C,,
89W9RP2,FC830,idrac,MOC-R4PAC10U23-S1-OBM,Server-1,R4-PA-C10,23,10.2.13.121,B8:85:84:66:25:40,24:8a:07:1e:2e:da,24:8a:07:1e:2e:db,1/6/1
89X3RP2,FC830,idrac,MOC-R4PAC10U23-S3-OBM,Server-3,R4-PA-C10,23,10.2.13.122,B8:85:84:66:25:5A,24:8a:07:1e:34:b6,24:8a:07:1e:34:b7,1/6/2
6R65SZ2,FX2,cmc,MOC-R4PAC10U21-CMC,,R4-PA-C10,21,10.2.13.110,54:48:10:FE:6E:8C,,
CNC1HQ2,FC830,idrac,MOC-R4PAC10U21-S1-OBM,Server-1,R4-PA-C10,21,10.2.13.111,D8:D0:90:C7:BA:B0,24:8a:07:1e:34:ae,24:8a:07:1e:34:af,1/5/3
CNC0HQ2,FC830,idrac,MOC-R4PAC10U21-S3-OBM,Server-3,R4-PA-C10,21,10.2.13.112,D8:D0:90:C7:BA:CA,24:8a:07:1e:85:f0,24:8a:07:1e:85:f1,1/5/4
JP32JH2,FX2,cmc,MOC-R4PAC10U19-CMC,,R4-PA-C10,19,10.2.13.100,F4:8E:38:C7:57:CE,,
89X7RP2,FC830,idrac,MOC-R4PAC10U19-S1-OBM,Server-1,R4-PA-C10,19,10.2.13.101,40:5C:FD:36:00:80,24:8a:07:1e:2e:2e,24:8a:07:1e:2e:2f,1/5/1
89X6RP2,FC830,idrac,MOC-R4PAC10U19-S3-OBM,Server-3,R4-PA-C10,19,10.2.13.102,40:5C:FD:36:00:9A,7c:fe:90:cb:73:1a,7c:fe:90:cb:73:1b,1/5/2
4X691Q2,FX2,cmc,MOC-R4PAC10U17-CMC,,R4-PA-C10,17,10.2.13.90,54:48:10:F1:DD:AA,,
4XL81Q2,FC830,idrac,MOC-R4PAC10U17-S1-OBM,Server-1,R4-PA-C10,17,10.2.13.91,A8:99:69:89:40:40,ec:0d:9a:c5:c5:ec,ec:0d:9a:c5:c5:ed,1/4/3
4XLZGQ2,FC830,idrac,MOC-R4PAC10U17-S3-OBM,Server-3,R4-PA-C10,17,10.2.13.92,A8:99:69:89:40:5A,24:8a:07:1e:2d:82,24:8a:07:1e:2d:83,1/4/4
J6Q9GK2,FX2,cmc,MOC-R4PAC10U15-CMC,,R4-PA-C10,15,10.2.13.80,F4:8E:38:C7:57:64,,
B6PGBZ2,FC830,idrac,MOC-R4PAC10U15-S1-OBM,Server-1,R4-PA-C10,15,10.2.13.81,40:5C:FD:F8:EA:C0,24:8a:07:1e:2c:76,24:8a:07:1e:2c:77,1/4/1
B6PFBZ2,FC830,idrac,MOC-R4PAC10U15-S3-OBM,Server-3,R4-PA-C10,15,10.2.13.82,40:5C:FD:F8:EA:DA,24:8a:07:1e:2e:de,24:8a:07:1e:2e:df,1/4/2
J0RN3Y2,FX2,cmc,MOC-R4PAC10U13-CMC,,R4-PA-C10,13,10.2.13.70,54:48:10:FE:6E:40,,
J16M3Y2,FC830,idrac,MOC-R4PAC10U13-S1-OBM,Server-1,R4-PA-C10,13,10.2.13.71,F4:02:70:6B:3A:90,7c:fe:90:cb:74:5a,7c:fe:90:cb:74:5b,1/3/3
J16N3Y2,FC830,idrac,MOC-R4PAC10U13-S3-OBM,Server-3,R4-PA-C10,13,10.2.13.72,F4:02:70:6B:3A:AA,7c:fe:90:cb:73:6a,7c:fe:90:cb:73:6b,1/3/4
B6FFBZ2,FX2,cmc,MOC-R4PAC10U11-CMC,,R4-PA-C10,11,10.2.13.60,54:48:10:FE:6D:A6,,
B6NHBZ2,FC830,idrac,MOC-R4PAC10U11-S1-OBM,Server-1,R4-PA-C10,11,10.2.13.61,D8:D0:90:B9:F2:B0,24:8a:07:1e:31:22,24:8a:07:1e:31:23,1/3/1
B6NGBZ2,FC830,idrac,MOC-R4PAC10U11-S3-OBM,Server-3,R4-PA-C10,11,10.2.13.62,D8:D0:90:B9:F2:CA,24:8a:07:1e:2b:d6,24:8a:07:1e:2b:d7,1/3/2
3BHV903,FX2,cmc,MOC-R4PAC10U09-CMC,,R4-PA-C10,9,10.2.13.50,54:48:10:FE:94:AE,,
3BJT903,FC830,idrac,MOC-R4PAC10U09-S1-OBM,Server-1,R4-PA-C10,9,10.2.13.51,D8:D0:90:F2:A6:F0,24:8a:07:1e:2e:26,24:8a:07:1e:2e:27,1/2/3
3BJV903,FC830,idrac,MOC-R4PAC10U09-S3-OBM,Server-3,R4-PA-C10,9,10.2.13.52,D8:D0:90:F2:A7:0A,24:8a:07:1e:2e:1a,24:8a:07:1e:2e:1b,1/2/4
5C94DS2,FX2,cmc,MOC-R4PAC10U07-CMC,,R4-PA-C10,7,10.2.13.40,54:48:10:F1:DA:E6,,
5BQ3DS2,FC830,idrac,MOC-R4PAC10U07-S1-OBM,Server-1,R4-PA-C10,7,10.2.13.41,DC:F4:01:1D:E7:70,24:8a:07:1e:30:76,24:8a:07:1e:30:77,1/2/1
5C99DS2,FC830,idrac,MOC-R4PAC10U07-S3-OBM,Server-3,R4-PA-C10,7,10.2.13.42,DC:F4:01:1D:E7:8A,50:6b:4b:38:87:76,50:6b:4b:38:87:77,1/2/2
36K0PY2,FX2,cmc,MOC-R4PAC10U05-CMC,,R4-PA-C10,5,10.2.13.30,54:48:10:FE:6D:9C,,
CNB1HQ2,FC830,idrac,MOC-R4PAC10U05-S1-OBM,Server-1,R4-PA-C10,5,10.2.13.31,F4:02:70:7B:4F:60,24:8a:07:1e:34:aa,24:8a:07:1e:34:ab,1/1/3
4JS8RP2,FC830,idrac,MOC-R4PAC10U05-S3-OBM,Server-3,R4-PA-C10,5,10.2.13.32,F4:02:70:7B:4F:7A,24:8a:07:1e:2e:e6,24:8a:07:1e:2e:e7,1/1/4
16J6DV2,FX2,cmc,MOC-R4PAC10U03-CMC,,R4-PA-C10,3,10.2.13.20,54:48:10:FD:07:50,,
15S5DV2,FC830,idrac,MOC-R4PAC10U03-S1-OBM,Server-1,R4-PA-C10,3,10.2.13.21,CC:C5:E5:D5:31:60,24:8a:07:1e:86:0c,24:8a:07:1e:86:0d,1/1/1
15T0DV2,FC830,idrac,MOC-R4PAC10U03-S3-OBM,Server-3,R4-PA-C10,3,10.2.13.22,CC:C5:E5:D5:31:7A,24:8a:07:1e:85:a0,24:8a:07:1e:85:a1,1/1/2
