idrac,MOC-R4PAC21U19-S3-OBM,Server-3,R4-PA-C21,19,10.2.10.102,D8:D0:90:F2:BF:8A
cmc,MOC-R4PAC21U17-CMC,,R4-PA-C21,17,10.2.10.90,54:48:10:FA:3A:C0
idrac,MOC-R4PAC21U17-S1-OBM,Server-1,R4-PA-C21,17,10.2.10.91,CC:C5:E5:43:DE:20
idrac,MOC-R4PAC21U17-S3-OBM,Server-3,R4-PA-C21,17,10.2.10.92,CC:C5:E5:43:DE:3A
cmc,MOC-R4PAC21U15-CMC,,R4-PA-C21,15,10.2.10.80,54:48:10:F1:DE:32
idrac,MOC-R4PAC21U15-S1-OBM,Server-1,R4-PA-C21,15,10.2.10.81,B8:85:84:CA:CC:00
idrac,MOC-R4PAC21U15-S3-OBM,Server-3,R4-PA-C21,15,10.2.10.82,B8:85:84:CA:CC:1A
cmc,MOC-R4PAC21U13-CMC,,R4-PA-C21,13,10.2.10.70,54:48:10:F5:96:1E
idrac,MOC-R4PAC21U13-S1-OBM,Server-1,R4-PA-C21,13,10.2.10.71,CC:C5:E5:9E:98:20
idrac,MOC-R4PAC21U13-S3-OBM,Server-3,R4-PA-C21,13,10.2.10.72,CC:C5:E5:9E:98:3A
cmc,MOC-R4PAC21U11-CMC,,R4-PA-C21,11,10.2.10.60,50:9A:4C:AD:E0:5A
idrac,MOC-R4PAC21U11-S1-OBM,Server-1,R4-PA-C21,11,10.2.10.61,58:8A:5A:93:91:31
idrac,MOC-R4PAC21U11-S3-OBM,Server-3,R4-PA-C21,11,10.2.10.62,58:8A:5A:93:91:4B
cmc,MOC-R4PAC21U09-CMC,,R4-PA-C21,9,10.2.10.50,54:48:10:FE:6D:9E
idrac,MOC-R4PAC21U09-S1-OBM,Server-1,R4-PA-C21,9,10.2.10.51,F4:02:70:7B:12:20
idrac,MOC-R4PAC21U09-S3-OBM,Server-3,R4-PA-C21,9,10.2.10.52,F4:02:70:7B:12:3A
cmc,MOC-R4PAC21U03-CMC,,R4-PA-C21,3,10.2.10.20,54:48:10:FE:93:AC
idrac,MOC-R4PAC21U03-S1-OBM,Server-1,R4-PA-C21,3,10.2.10.21,D8:D0:90:F6:31:70
idrac,MOC-R4PAC21U03-S3-OBM,Server-3,R4-PA-C21,3,10.2.10.22,D8:D0:90:F6:31:8A
